name
道南河濱公園 3號網球場
道南河濱公園 右岸3號籃球場
道南河濱公園 右岸5號籃球場
道南河濱公園 右岸羽球場
新生高架橋下運動場 籃球場
新生高架橋下運動場 滑板場
臺北市極限運動訓練中心 1樓辦公室
臺北市極限運動訓練中心 1樓會議室
臺北市極限運動訓練中心 2樓教練休息室
臺北市極限運動訓練中心 2樓選手休息室
臺北市極限運動訓練中心 戶外場地 木平臺
溪洲[福和]河濱公園 攀岩場
大湖山莊成功社區 籃球場
民權公園 籃球場
民權公園 網球場
雙溪右岸河濱公園 籃球場第1面
雙溪右岸河濱公園 籃球場第2面
雙溪右岸河濱公園 籃球場第3面
雙溪右岸河濱公園 羽球場第1面
雙溪右岸河濱公園 羽球場第2面
雙溪右岸河濱公園 羽球場第3面
景美河濱公園 網球場
景美河濱公園 籃球場A
南港公園 籃球場
南港公園 網球場
中強[象山]公園 籃球場
虎林公園 籃球場
東湖2號公園 籃球場
社子大橋下籃球場 籃球場
紫陽綠地 溜冰場
紫陽綠地 羽球場
碧湖公園 網球場
碧湖公園 游泳池
玉成公園 籃球場
玉成公園 網球場
玉成公園 游泳池
東陽公園 羽球場
東陽公園 籃球場
東陽公園 溜冰場
胡適公園 籃球場
中研公園 籃球場
中研公園 網球場
中研公園 溜冰場
成美左岸河濱公園 籃球場
龍山河濱公園 籃球場
龍山河濱公園 羽球場
大安森林公園 溜冰場
大安森林公園 籃球場(半場)
南湖左岸河濱公園 籃球場
煙波庭公園 籃球場半場
煙波庭公園 網球場
石潭公園 籃球場
石潭公園 網球場
瑞湖公園 網球場
榮星公園 籃球場
運動中心 北投運動中心
運動中心 大安運動中心
運動中心 大同運動中心
運動中心 中正運動中心
運動中心 南港運動中心
運動中心 內湖運動中心
運動中心 士林運動中心
運動中心 萬華運動中心
運動中心 文山運動中心
運動中心 信義運動中心
運動中心 中山運動中心
運動中心 臺北市網球中心
運動中心 松山運動中心
景美運動公園 籃球場A
景美運動公園 籃球場B
天壽公園 網球場
天壽公園 籃球場
大湖公園 游泳池
三民公園 游泳池
木柵公園 游泳池
萬芳4號公園 籃球場(全場)
萬芳4號公園 溜冰場
萬有2號公園 網球場
萬和3號公園 籃球場(全場)
萬和3號公園 溜冰場
景豐公園 羽球場A
景豐公園 羽球場B
景豐公園 溜冰場
至善公園 羽球場 B
至善公園 羽球場A
建成公園 籃球場
河雙21河濱公園 籃球場
臺北網球場 網球場
前港公園  游泳池
克強公園  游泳池
七虎公園  游泳池
前山公園  游泳池
天溪綠地  游泳池
天溪綠地  網球場
天溪綠地  網球練習壁
玉泉公園  游泳池
洲美快速橋下 籃球場
